bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
4,3.0,2393,4447,1.0,0,1,4,5,1876,517,1980,0,98183,47.7898,-122.0623,2355,3297,703000
2,3.0,1455,4977,1.0,0,0,4,8,1040,415,1958,0,98048,47.124,-121.5207,1258,6119,485000
3,3.0,1994,5854,1.0,0,0,2,8,1479,515,1954,0,98101,47.1299,-122.2811,1918,5070,596000
3,2.0,1857,3439,2.5,0,3,3,9,1136,721,1926,0,98015,47.3997,-121.6242,1497,3194,670000
3,2.0,1369,4186,1.0,0,4,3,8,1359,10,2007,0,98199,47.5617,-121.7181,1594,3777,696000
4,4.0,2001,6595,2.0,0,0,3,8,1701,300,1966,0,98113,47.3705,-122.4312,2142,7940,670000
2,2.0,1066,11298,3.0,0,0,4,8,853,213,2018,0,98016,47.7997,-122.4731,995,9065,521000
3,4.0,2099,1029,2.0,0,0,4,8,1582,517,1959,0,98171,47.2368,-122.077,2419,738,707000
3,2.0,1341,3659,2.0,0,0,5,7,1094,247,1901,0,98135,47.1055,-121.6694,1171,4695,493000
1,1.0,1168,5832,2.0,0,0,1,9,878,290,1967,0,98043,47.2331,-122.1035,971,7514,478000
4,4.0,2368,2358,1.0,0,0,3,8,1762,606,1917,0,98028,47.7208,-121.6987,2787,2015,756000
2,2.0,1849,19632,2.0,0,0,4,7,1453,396,1919,0,98066,47.2016,-121.7015,1708,13853,572000
2,2.0,1177,2956,2.0,0,0,4,5,836,341,1984,0,98098,47.4353,-121.5321,1382,3215,461000
5,5.0,2714,4755,3.0,0,0,4,6,1824,890,1962,0,98060,47.3935,-122.3806,2863,5179,753000
6,5.0,3584,7668,3.0,0,4,2,7,2948,636,1977,0,98128,47.566,-121.8074,4272,9694,1044000
4,4.0,1915,3062,2.5,0,0,3,6,1795,120,1971,0,98131,47.1382,-122.425,2109,2692,567000
3,3.0,1239,1122,2.5,0,1,3,6,819,420,1901,0,98129,47.5611,-122.2889,1043,913,555000
2,2.0,736,3488,2.0,0,0,2,7,500,236,1989,0,98159,47.3483,-122.1094,840,3732,415000
4,3.0,2314,11199,2.0,0,0,3,6,1617,697,1982,0,98056,47.7482,-121.6511,1988,11627,698000
3,3.0,1135,3754,2.5,0,0,4,8,1126,9,1941,0,98084,47.6942,-121.3313,1222,4244,580000
2,2.0,1188,2497,1.5,0,0,3,7,1107,81,1927,0,98174,47.3797,-122.089,1188,3074,457000
3,3.0,1831,10307,3.0,0,0,3,7,1535,296,1928,0,98032,47.795,-121.8746,1983,10676,691000
1,2.0,956,3772,1.5,0,0,4,6,929,27,1968,0,98081,47.1364,-122.1891,1057,2980,414000
5,4.0,2628,3268,2.0,0,0,3,6,2045,583,2006,2019,98018,47.652,-121.6894,2947,3460,756000
3,3.0,1767,5539,2.0,0,1,4,7,1755,12,1927,0,98196,47.4037,-122.0601,2004,5121,467000
4,5.0,2484,9105,3.0,0,0,3,8,1785,699,1959,0,98035,47.4033,-121.9221,2829,8847,791000
3,2.0,1414,33037,1.0,0,1,3,8,984,430,2004,0,98104,47.2191,-121.8186,1365,42145,550000
3,2.0,1497,9526,2.0,0,0,5,6,1280,217,2011,1970,98100,47.4604,-121.6765,1730,9840,639000
3,3.0,1468,12430,2.0,0,0,5,7,1103,365,1989,0,98023,47.1593,-122.4279,1597,9817,480000
2,2.0,1549,3279,1.0,0,0,2,6,1317,232,2022,0,98141,47.5316,-121.8341,1759,3167,500000
6,5.0,3170,2163,2.0,0,1,4,11,2289,881,1904,0,98142,47.2691,-121.9826,3790,1811,871000
4,3.0,2235,5166,2.0,0,4,3,10,1893,342,1914,0,98165,47.6074,-122.3395,1892,4036,792000
5,5.0,2855,5355,2.0,0,3,2,7,2028,827,2009,0,98005,47.5252,-122.2504,2707,6037,922000
5,5.0,2147,2074,1.0,0,0,3,8,1332,815,1972,0,98150,47.6225,-121.4393,2410,2234,648000
3,2.0,2200,4272,2.0,0,3,3,8,2123,77,1931,0,98028,47.6248,-121.4539,1836,4266,678000
5,5.0,2957,6765,2.0,1,0,4,8,2819,138,1951,0,98132,47.2377,-122.46,3005,6453,1012000
2,2.0,1521,6557,1.5,0,4,4,8,1503,18,1989,0,98050,47.1005,-121.6727,1739,5858,608000
2,2.0,1835,7357,1.0,0,0,5,10,1627,208,1936,0,98102,47.356,-121.835,1482,5538,622000
1,1.0,500,6203,3.0,0,0,4,7,500,0,1914,0,98029,47.7433,-121.3722,588,5456,297000
3,3.0,1543,3276,2.0,0,0,3,8,1271,272,1940,0,98037,47.5045,-121.4104,1838,3941,626000
3,3.0,1479,3258,2.0,0,0,4,9,962,517,1903,0,98163,47.6093,-121.8045,1374,3813,593000
3,3.0,1916,1883,1.5,0,1,5,8,1295,621,2016,0,98148,47.7157,-122.3333,2120,2417,671000
4,3.0,1785,20493,1.5,0,3,4,8,1278,507,1952,0,98163,47.7342,-121.9482,1519,22412,726000
3,4.0,1927,4968,1.5,0,0,4,6,1842,85,1999,0,98130,47.4703,-121.6298,2137,5128,661000
3,4.0,2111,4106,1.5,0,1,5,7,1413,698,1983,0,98116,47.4787,-121.3579,2095,3604,679000
3,3.0,1909,2338,2.0,0,2,3,6,1850,59,1926,0,98058,47.6957,-122.0634,2184,1744,613000
2,3.0,1385,51458,2.0,0,0,4,7,1121,264,1920,0,98146,47.6652,-121.5584,1226,55102,543000
4,5.0,1804,2083,2.0,0,0,4,7,1599,205,1959,0,98106,47.5892,-121.68,1929,2068,662000
2,1.0,1046,3487,1.0,0,0,5,12,674,372,1985,0,98056,47.5231,-122.406,1166,4029,608000
6,5.0,3275,6855,2.0,0,0,3,7,2317,958,1963,0,98122,47.5321,-121.8304,2885,6492,858000
4,5.0,2334,7944,1.0,0,0,3,8,2295,39,1970,1983,98192,47.354,-122.2798,2631,10258,751000
2,2.0,1288,10576,1.0,0,0,4,7,910,378,1946,2012,98103,47.6886,-121.6797,1524,9926,476000
1,2.0,775,20870,3.0,0,0,3,9,557,218,1953,0,98123,47.5324,-121.7679,811,18780,472000
4,4.0,1492,7368,2.0,0,0,4,7,1013,479,1930,0,98180,47.2565,-121.3323,1662,9008,533000
4,3.0,1779,2112,2.0,0,3,3,8,1159,620,1916,0,98022,47.2679,-121.3775,1802,1980,581000
4,5.0,2673,4002,1.5,0,0,3,6,1853,820,1949,1996,98060,47.7031,-122.4888,2778,4893,760000
4,4.0,1716,6287,3.0,0,0,3,7,1470,246,1906,0,98138,47.538,-122.404,1382,4504,609000
2,3.0,1357,25709,2.0,0,0,3,8,1061,296,1982,0,98084,47.3791,-121.577,1370,28680,529000
3,2.0,2002,1606,2.0,0,0,3,7,1645,357,1927,0,98128,47.231,-121.6772,2063,1193,590000
2,3.0,924,12862,1.5,0,0,3,9,600,324,1909,0,98080,47.5272,-121.5389,987,10147,477000
5,5.0,2555,5676,3.0,0,0,3,9,2353,202,1926,0,98134,47.229,-122.1798,2217,6357,826000
4,4.0,2381,9607,2.5,0,0,3,11,2175,206,1912,0,98081,47.4291,-121.4808,2135,8395,805000
3,4.0,1704,4530,2.5,0,0,2,8,1037,667,1965,0,98006,47.5743,-121.9691,1878,3743,640000
2,3.0,2161,2505,1.0,0,0,3,11,1628,533,1985,0,98086,47.4958,-122.1857,1874,2958,705000
3,3.0,1199,8962,1.0,0,0,3,9,752,447,2022,0,98082,47.7455,-122.4873,1159,11362,511000
3,3.0,2018,8296,1.0,0,1,4,6,1850,168,1983,0,98156,47.1278,-121.4544,1817,6964,611000
4,5.0,2048,10696,1.0,0,0,3,7,1833,215,1959,1977,98042,47.2959,-121.8576,2085,9523,548000
4,4.0,2332,4863,2.5,0,0,3,6,2241,91,1942,0,98074,47.14,-121.3295,2786,5488,617000
5,4.0,2632,3042,1.0,0,0,4,3,1828,804,1968,0,98041,47.2362,-121.6424,3003,3617,648000
3,3.0,1480,1412,1.0,0,2,3,6,1158,322,1962,0,98063,47.1868,-122.4035,1344,1835,474000
2,2.0,1369,9466,1.0,0,0,5,3,922,447,1969,0,98022,47.6129,-121.7942,1297,8179,412000
4,5.0,1543,6899,1.0,0,1,4,8,1155,388,1998,0,98079,47.3586,-122.4795,1801,7133,566000
4,4.0,2281,2270,1.0,0,2,3,7,1845,436,1964,1973,98157,47.7475,-121.8307,2644,1772,705000
3,3.0,1789,3194,2.0,1,0,3,6,1112,677,1998,0,98071,47.1164,-122.0798,1546,2870,681000
4,3.0,2292,3383,2.0,0,0,3,8,2031,261,1966,0,98114,47.557,-121.728,2594,2459,691000
3,3.0,2017,1501,1.0,0,0,2,9,1649,368,1953,0,98034,47.7794,-121.8501,1854,1241,688000
3,4.0,1810,2555,1.5,0,0,3,11,1686,124,1935,0,98096,47.2231,-122.1864,1842,2565,669000
3,2.0,1744,1984,1.5,0,0,3,8,1236,508,1970,0,98130,47.4097,-122.3052,1399,1584,641000
1,1.0,636,3533,1.0,0,0,4,7,611,25,1992,0,98154,47.5913,-122.0143,763,4358,376000
2,1.0,1086,2722,2.0,0,0,3,6,1085,1,1914,0,98109,47.5432,-121.3158,1199,3065,444000
1,1.0,1256,1337,2.0,0,0,1,6,1215,41,1974,0,98075,47.4962,-121.9772,1126,958,406000
4,4.0,2531,24787,2.0,1,2,4,6,2306,225,1917,0,98019,47.3287,-121.6015,2717,30389,962000
3,3.0,1629,13387,2.0,0,0,3,7,1507,122,2007,0,98125,47.6097,-122.4316,1494,17221,601000
3,2.0,1714,2635,1.0,0,3,3,12,1422,292,1903,0,98020,47.5573,-122.0454,1433,2638,721000
5,5.0,2229,6112,3.0,0,4,3,3,1507,722,1987,0,98161,47.214,-121.8036,2162,5432,636000
2,3.0,1652,6863,2.5,0,4,3,6,1439,213,1910,0,98116,47.7749,-121.5986,1727,5889,681000
3,3.0,1900,12745,3.0,0,2,5,6,1682,218,1905,0,98094,47.489,-121.8659,1588,9590,646000
4,4.0,2682,2553,1.0,0,0,2,8,2666,16,2021,0,98082,47.4678,-121.8816,2702,2540,769000
2,2.0,1037,11774,3.0,0,0,3,7,847,190,1950,0,98096,47.6938,-121.5833,1043,8596,453000
2,3.0,1187,3171,2.5,0,0,3,7,841,346,1957,0,98104,47.5483,-122.1241,1248,3178,475000
3,3.0,1769,1688,2.5,0,0,3,6,1545,224,1959,0,98004,47.1521,-122.3913,1588,1437,459000
2,2.0,1494,8772,1.0,0,2,3,7,1482,12,1917,0,98160,47.4546,-122.0834,1208,8648,514000
5,4.0,2435,13803,2.0,0,4,4,5,1634,801,1978,0,98147,47.6464,-122.3092,2264,13127,761000
4,3.0,1838,38961,3.0,0,0,5,7,1342,496,1966,0,98131,47.59,-121.3409,1763,34405,602000
4,3.0,2364,1882,2.0,0,0,3,5,1931,433,1916,0,98092,47.7795,-121.807,2492,1824,654000
5,5.0,2716,8597,2.0,0,0,3,8,1815,901,1996,2020,98061,47.1174,-121.9641,3183,8463,747000
4,4.0,1825,3541,3.0,0,0,4,7,1111,714,1933,0,98038,47.2829,-121.4055,1608,4250,580000
2,2.0,1707,9197,1.5,0,0,3,8,1254,453,1929,0,98118,47.4844,-121.4196,1835,10112,532000
5,5.0,2851,1516,2.0,0,0,3,7,2697,154,1918,0,98134,47.5336,-122.0012,2392,1455,790000
3,3.0,1740,1790,2.0,0,2,3,7,1074,666,1908,2019,98056,47.292,-121.4503,1525,2225,553000
4,3.0,2124,2642,3.0,0,0,3,5,1639,485,1939,0,98168,47.6788,-122.4232,2132,3047,697000
5,5.0,2666,5235,1.0,0,3,3,7,2412,254,1943,2017,98121,47.215,-121.4371,2888,3902,762000
3,3.0,1441,2943,2.0,0,0,4,7,1414,27,1994,0,98081,47.1006,-122.1273,1648,2332,549000
2,2.0,1309,8327,2.0,0,2,4,7,1301,8,1958,0,98106,47.7667,-121.8219,1437,6237,536000
2,2.0,654,11176,2.0,0,0,3,8,503,151,1990,0,98120,47.3741,-122.1764,527,9961,415000
3,3.0,1963,7940,2.0,0,3,2,9,1924,39,2010,2011,98069,47.7702,-121.3182,2107,7633,728000
4,4.0,1632,17944,3.0,0,1,5,8,1002,630,1924,0,98083,47.2946,-122.4139,1844,17990,650000
5,5.0,2951,6855,3.0,0,0,3,6,2651,300,2018,0,98042,47.1444,-121.9637,2981,8300,769000
1,1.0,801,1857,1.0,0,0,4,7,687,114,1970,0,98099,47.6408,-121.7548,950,1320,498000
3,4.0,1636,14628,1.5,0,3,2,5,1145,491,1952,0,98130,47.6851,-121.7613,1312,13999,579000
3,4.0,1512,3029,1.0,0,0,3,8,1214,298,1947,0,98028,47.4445,-121.6135,1705,2867,492000
2,2.0,1214,10182,1.0,0,0,3,7,791,423,1970,0,98117,47.1517,-121.6307,1134,12916,430000
2,2.0,1726,17309,2.0,0,0,4,6,1637,89,1983,0,98145,47.5579,-121.5482,1830,14620,570000
3,3.0,954,7082,3.0,0,1,2,9,709,245,1952,2004,98070,47.2275,-122.2189,1028,5478,482000
5,5.0,2883,1485,2.5,0,2,3,7,2452,431,2007,0,98107,47.6946,-122.0554,2660,1166,851000
3,4.0,1801,2358,1.0,0,0,3,7,1195,606,1948,0,98123,47.2918,-122.0416,2158,2386,515000
3,2.0,1338,14160,1.0,0,0,4,5,913,425,1942,0,98069,47.6934,-121.353,1126,13233,495000
4,3.0,1777,4293,2.0,0,4,5,7,1771,6,1999,0,98039,47.3988,-122.0088,1533,4948,722000
3,4.0,2203,5238,2.0,0,2,5,9,1985,218,1918,0,98135,47.5175,-122.2338,2549,4682,863000
6,5.0,2616,9019,1.0,0,3,5,7,2576,40,1965,0,98160,47.6527,-121.7412,2218,7006,843000
6,5.0,2554,8579,2.5,0,0,1,11,1835,719,1933,0,98004,47.1283,-121.9873,2433,7997,796000
3,3.0,2041,6143,3.0,0,0,2,6,1359,682,2019,0,98149,47.6748,-122.1999,2231,7555,639000
3,3.0,1802,4159,1.5,0,0,3,7,1444,358,1980,0,98160,47.1971,-121.6418,2012,3923,665000
3,4.0,1419,3827,2.5,0,1,3,8,1132,287,1987,0,98082,47.3509,-122.2697,1677,4593,616000
3,2.0,1765,9763,1.5,0,0,4,7,1183,582,1972,0,98097,47.4309,-121.74,1969,9010,575000
1,1.0,592,7653,2.0,0,0,4,5,529,63,1953,0,98142,47.7268,-121.9834,674,6649,442000
4,5.0,2430,4000,2.0,0,0,3,7,1810,620,1900,0,98070,47.1157,-122.117,2867,4660,654000
3,3.0,2018,11681,1.0,0,0,4,7,1361,657,2005,0,98046,47.4914,-121.3648,2061,9643,776000
2,2.0,1460,4433,3.0,0,2,5,8,1070,390,1991,0,98148,47.5498,-122.1107,1369,3720,705000
3,3.0,1808,2487,2.0,0,0,3,8,1492,316,1954,0,98186,47.3216,-122.083,1997,1815,596000
5,4.0,3028,2678,2.0,0,1,3,8,2697,331,1914,0,98099,47.3033,-121.4552,2620,2176,834000
2,2.0,1300,2246,1.5,0,3,3,8,1031,269,1984,0,98080,47.4433,-122.3451,1075,2083,582000
2,2.0,945,3952,1.0,0,0,3,6,766,179,1914,0,98048,47.231,-122.3703,1053,3714,390000
3,3.0,1835,13187,1.0,0,1,3,7,1203,632,2020,0,98007,47.4277,-122.1608,2166,12559,590000
6,5.0,3526,2581,2.0,0,4,3,8,3406,120,1922,0,98040,47.6355,-121.79,3445,2550,1095000
2,1.0,996,5715,2.0,0,4,1,10,968,28,2016,0,98059,47.6918,-122.0388,861,5962,590000
4,4.0,1992,2906,1.0,0,0,5,5,1740,252,1965,0,98036,47.3696,-121.7697,1990,2364,594000
4,3.0,2225,3991,2.0,0,0,3,7,1351,874,1945,0,98172,47.5321,-122.3083,2130,4264,680000
2,1.0,1284,1468,2.0,0,0,3,6,1046,238,1999,0,98108,47.1,-122.1863,1219,1324,411000
4,4.0,1805,4120,2.0,0,1,5,6,1537,268,2013,0,98031,47.4852,-121.8218,1897,4698,592000
3,4.0,2037,4209,2.0,0,1,3,7,2033,4,1908,0,98170,47.7827,-122.2394,1772,4353,690000
4,3.0,2796,7572,3.0,0,1,3,7,2792,4,1965,0,98044,47.3186,-121.9926,2662,7819,776000
4,5.0,2159,5876,2.0,0,0,4,3,2036,123,1965,0,98171,47.5163,-121.8128,2477,6530,580000
3,2.0,1429,1884,2.0,0,0,3,8,894,535,1917,0,98043,47.6336,-121.3316,1560,1695,543000
2,1.0,835,11700,1.0,0,0,4,8,819,16,1916,0,98175,47.5263,-122.4041,687,11203,433000
4,5.0,2177,5815,1.0,0,0,3,10,1840,337,2004,0,98134,47.3929,-121.9475,2189,6104,793000
3,3.0,2031,5760,1.0,0,1,2,6,1869,162,1971,0,98093,47.2068,-122.0245,1699,5489,614000
2,2.0,1443,4879,2.0,0,0,3,7,1101,342,1997,0,98194,47.4246,-121.5109,1707,4716,542000
1,2.0,899,3248,1.0,0,0,3,7,654,245,1933,0,98086,47.3063,-121.4196,807,2805,367000
3,3.0,1523,5850,1.0,0,0,4,7,1196,327,1968,0,98009,47.5871,-121.4116,1787,5104,547000
4,3.0,1772,7190,2.0,0,0,4,7,1167,605,1963,0,98011,47.4093,-122.0498,2009,8048,588000
1,1.0,1150,1215,1.0,1,0,5,8,854,296,1943,0,98080,47.6949,-122.1344,1174,854,667000
3,3.0,1974,3194,1.0,0,0,4,4,1862,112,1928,0,98109,47.2353,-121.961,1845,2418,455000
2,2.0,836,4008,1.0,0,0,3,10,514,322,1961,0,98118,47.3924,-122.0872,956,5087,446000
4,3.0,2577,6033,2.0,0,0,4,8,1702,875,1991,0,98018,47.4903,-121.6374,2219,4900,786000
2,2.0,1472,12767,1.0,0,0,4,8,957,515,1915,0,98153,47.1882,-122.2437,1284,12140,468000
4,5.0,2520,2651,2.0,0,1,4,8,1918,602,1977,0,98097,47.5115,-121.7096,2243,3207,797000
3,3.0,1297,3300,2.0,0,0,4,7,1295,2,1951,2000,98186,47.3036,-121.3876,1348,2310,502000
5,4.0,2090,3262,2.0,0,1,3,8,1399,691,1901,0,98030,47.2607,-122.1641,1935,4094,683000
2,2.0,1255,2588,2.0,0,1,3,7,826,429,2019,0,98115,47.1993,-121.6877,1501,1895,468000
3,4.0,1851,3723,2.5,0,0,4,9,1788,63,2003,0,98001,47.3449,-122.3277,1625,2988,543000
2,2.0,1839,9106,1.0,0,4,3,6,1752,87,1960,0,98191,47.7503,-122.3543,2064,6533,625000
5,5.0,2712,2115,1.0,0,0,3,6,1662,1050,1903,0,98097,47.1217,-122.3612,2274,2140,631000
5,5.0,2427,6921,1.0,0,1,4,7,2186,241,1951,0,98113,47.6965,-122.3338,2285,8761,680000
3,3.0,1392,1260,1.0,0,4,3,6,1200,192,1940,0,98079,47.3782,-122.2406,1249,1516,530000
4,3.0,2469,3137,1.0,0,3,2,7,2240,229,1951,0,98029,47.4931,-121.8246,2940,3400,707000
4,3.0,1811,3776,1.0,0,0,1,7,1445,366,1930,0,98066,47.459,-121.5796,1467,3063,554000
3,3.0,2189,18768,2.0,0,0,4,9,2181,8,1925,0,98181,47.748,-122.3478,2383,22930,753000
3,3.0,1615,3945,2.0,0,0,3,7,997,618,1926,0,98105,47.6391,-121.456,1452,4548,648000
2,2.0,1777,1000,1.5,0,0,4,7,1233,544,2020,0,98019,47.7894,-121.4887,1998,860,630000
2,2.0,1504,1000,2.0,0,1,3,6,1141,363,1950,0,98066,47.6561,-121.6271,1390,1183,542000
5,5.0,2459,5050,1.0,0,0,3,7,1918,541,1997,0,98112,47.3071,-121.9888,2151,6193,786000
5,5.0,2344,8031,1.0,0,0,3,7,2270,74,1994,0,98180,47.774,-122.4981,2525,8986,693000
4,5.0,1998,6637,2.0,0,1,4,8,1646,352,1947,0,98159,47.7885,-121.6183,1804,5046,693000
3,3.0,1828,5620,1.0,0,0,3,5,1130,698,1910,0,98060,47.1862,-121.4452,1817,7253,505000
3,3.0,1723,12454,1.0,0,3,5,6,1315,408,1907,0,98117,47.7307,-122.0977,1469,9286,687000
4,5.0,1922,3192,1.5,0,2,5,7,1473,449,1911,0,98068,47.5649,-121.6384,2095,3488,747000
5,5.0,2450,10056,3.0,0,0,4,7,2416,34,1998,0,98093,47.7454,-122.4255,2359,7706,725000
5,5.0,2524,1332,2.0,1,0,5,7,2119,405,1944,2011,98158,47.741,-121.6486,2161,1656,896000
4,5.0,1461,2383,1.0,0,0,3,8,1248,213,1933,0,98141,47.724,-122.418,1602,2168,599000
4,3.0,2237,1158,2.5,0,0,3,6,1980,257,1976,0,98143,47.7197,-121.7954,1882,1166,710000
2,2.0,1006,3945,2.0,0,4,4,7,913,93,1990,0,98148,47.1824,-121.7829,1036,3185,501000
2,1.0,954,4736,2.0,0,3,4,7,815,139,1971,0,98162,47.2005,-122.1374,995,4868,425000
5,4.0,1994,5385,2.5,0,0,4,6,1386,608,1946,0,98148,47.1824,-122.4051,2337,6803,550000
4,3.0,1562,5164,1.5,0,0,4,8,1483,79,2019,0,98050,47.1637,-121.3608,1344,6408,613000
1,1.0,500,2340,1.0,0,0,5,7,500,0,1920,0,98089,47.3473,-121.8573,531,1728,376000
2,2.0,1087,4221,2.0,0,0,3,7,975,112,1940,0,98155,47.5788,-121.8043,1035,3913,496000
4,3.0,2686,1483,2.0,0,0,4,8,2682,4,1974,0,98158,47.3483,-121.762,2579,1276,754000
1,1.0,742,14626,2.0,0,0,4,6,683,59,1921,0,98184,47.6042,-121.4307,743,14462,346000
2,2.0,1353,3855,2.0,0,0,4,9,1261,92,1920,0,98193,47.6742,-122.4277,1209,4627,500000
3,3.0,1820,3324,3.0,0,0,3,7,1785,35,1927,0,98099,47.5664,-121.4281,1792,3800,550000
4,3.0,2139,17521,3.0,0,0,4,7,1413,726,1966,0,98183,47.4256,-122.2124,2299,15881,589000
4,4.0,2077,1819,2.5,0,4,5,9,1660,417,1970,0,98113,47.3069,-122.4065,2041,1691,781000
2,2.0,941,1997,2.5,0,1,3,8,783,158,1913,0,98107,47.1871,-121.7113,769,2182,465000
4,5.0,2535,2045,3.0,0,0,4,7,1855,680,1978,0,98024,47.4456,-121.3276,2289,1670,763000
2,2.0,1842,4655,1.0,0,0,3,8,1724,118,1972,2008,98025,47.6037,-122.4313,1733,3545,663000
3,3.0,1195,6942,1.0,0,0,5,7,1081,114,1951,0,98181,47.4838,-121.9887,1126,5870,511000
4,5.0,1793,8882,2.0,0,0,3,7,1593,200,1942,0,98011,47.605,-121.8643,1492,6878,566000
4,3.0,2016,38469,2.5,0,0,3,5,2014,2,1970,0,98094,47.3347,-122.1975,1975,35053,570000
4,3.0,1811,1000,2.0,0,2,3,5,1274,537,1975,0,98060,47.1468,-121.3206,1950,1263,552000
4,4.0,2252,7998,2.0,0,0,4,8,2014,238,1918,0,98175,47.6398,-121.7308,1845,6176,741000
3,2.0,1482,3147,1.0,0,0,2,5,1216,266,1926,0,98153,47.2538,-121.4868,1631,3748,454000
2,3.0,1950,3074,1.0,1,0,4,6,1414,536,1917,0,98025,47.5314,-122.0011,2305,3138,768000
3,4.0,2057,2993,2.0,0,3,5,8,1366,691,1912,0,98145,47.663,-122.0753,1653,3232,735000
3,3.0,1764,2376,1.0,0,3,4,3,1691,73,2006,0,98140,47.1974,-121.8362,1548,1906,576000
2,1.0,1608,18913,1.5,0,0,2,6,1348,260,1900,0,98123,47.5189,-121.9777,1636,14957,509000
6,5.0,3232,9642,1.0,0,0,5,7,3006,226,2001,0,98180,47.5826,-121.6421,2867,7691,780000
3,2.0,1531,5007,1.0,0,0,4,7,1253,278,1984,0,98011,47.6226,-122.181,1693,5509,589000
5,4.0,2255,14484,2.0,0,0,3,8,1551,704,1933,0,98010,47.2034,-121.9605,2086,16637,636000
4,3.0,2123,1466,1.5,1,0,1,7,1560,563,1912,0,98081,47.6776,-121.4258,1948,1836,740000
4,4.0,2358,1695,2.0,0,0,3,7,1775,583,2008,0,98188,47.1659,-121.5927,1887,1591,682000
3,3.0,1742,1000,1.0,0,0,4,8,1723,19,2014,0,98054,47.4637,-122.2983,1582,977,710000
3,3.0,1227,2809,2.5,0,0,2,7,739,488,2004,0,98109,47.4104,-121.4358,1088,2758,506000
3,3.0,1459,5593,1.5,0,0,3,7,1451,8,1950,0,98063,47.2552,-121.7932,1368,4821,492000
2,1.0,1278,5336,2.0,0,3,4,9,1268,10,1986,0,98020,47.3114,-121.6849,1098,4786,593000
4,4.0,2077,5538,2.0,0,0,3,7,2074,3,1900,0,98005,47.2151,-122.1469,2156,6690,699000
3,2.0,2292,1589,1.0,0,1,4,7,1812,480,1986,0,98041,47.398,-121.9701,2052,1440,656000
1,1.0,500,9344,2.5,0,0,4,3,500,0,2020,2001,98118,47.1249,-121.5318,566,11413,289000
4,3.0,2252,5953,2.0,0,0,2,7,1708,544,1927,0,98063,47.7222,-122.1032,2058,5257,661000
2,3.0,1747,8835,1.5,0,0,4,4,1067,680,2022,0,98184,47.2144,-122.3019,1545,7986,467000
5,4.0,3181,1081,1.0,0,1,3,7,2194,987,1931,1980,98032,47.7202,-122.046,2617,1120,908000
6,5.0,2779,6306,3.0,0,0,3,8,2718,61,1971,0,98027,47.7045,-122.4169,3046,4804,813000
5,5.0,2647,1900,2.0,0,0,4,7,1603,1044,1954,0,98068,47.4162,-121.6386,2656,2381,789000
3,4.0,1871,3577,1.0,0,0,3,6,1531,340,1925,0,98105,47.4484,-122.3227,1582,4265,546000
